CO_ID;DATA;CL_ID;CL_GENERO;CL_EC;CL_FHL;CL_SEG;QTD_ITENS_DISTINTOS;QTD_UNIDADES;QTD_CATEGORIAS_DISTINTAS
1000;2019-02-01;534;M;4;1;C;46;52;4
1040;2019-02-01;279;M;1;2;B;15;15;5
1078;2019-02-01;290;F;1;0;B;63;82;7
1082;2019-02-01;323;M;1;3;B;62;71;5
1103;2019-02-01;957;M;2;3;B;6;6;3
1121;2019-02-01;49;M;2;0;C;54;64;6
1188;2019-02-01;906;M;2;0;A;67;78;6
1200;2019-02-01;653;M;2;0;C;70;81;6
1240;2019-02-01;842;M;5;2;B;33;37;5
1293;2019-02-01;616;F;1;2;C;8;8;4
1298;2019-02-01;406;M;2;4;C;6;6;4
1375;2019-02-01;576;M;3;0;B;36;39;5
1433;2019-02-01;652;F;4;0;B;60;72;6
1482;2019-02-01;453;F;1;0;B;49;54;7
1568;2019-02-01;829;F;3;4;B;36;37;4
1569;2019-02-01;251;F;2;0;C;15;15;5
1637;2019-02-01;397;F;1;0;B;65;75;5
1683;2019-02-01;438;F;1;0;B;76;85;7
1768;2019-02-01;69;M;4;3;A;12;12;4
1793;2019-02-01;608;F;3;0;C;31;33;6
1850;2019-02-01;423;F;5;2;A;64;73;6
1874;2019-02-01;53;M;1;1;B;61;70;6
1943;2019-02-01;886;F;5;1;B;12;12;2
1954;2019-02-01;624;M;4;0;B;7;7;3
1985;2019-02-01;94;M;1;2;C;1;1;1
2058;2019-02-01;428;F;2;0;A;39;41;5
2112;2019-02-01;72;F;2;0;A;6;6;2
2151;2019-02-01;493;M;2;4;B;66;81;6
2224;2019-02-01;497;M;3;0;B;74;89;7
2311;2019-02-01;164;M;2;3;A;34;39;7
2327;2019-02-01;689;M;2;0;C;74;85;6
2338;2019-02-01;99;F;1;4;C;32;33;5
2358;2019-02-01;866;M;2;2;C;19;20;4
2390;2019-02-01;801;M;1;4;B;6;6;2
2424;2019-02-01;279;M;1;2;B;40;44;5
2522;2019-02-01;340;M;3;4;B;31;33;6
2599;2019-02-01;52;F;1;0;A;21;21;5
2668;2019-02-01;574;F;2;2;B;29;34;6
2757;2019-02-01;328;M;2;0;B;21;21;5
2830;2019-02-01;466;F;1;0;C;26;30;5
2880;2019-02-01;296;F;1;3;B;50;55;6
2950;2019-02-01;149;M;1;3;A;25;25;5
2995;2019-02-01;406;M;2;4;C;58;71;6
3076;2019-02-01;458;F;3;4;C;65;71;7
3157;2019-02-01;776;F;2;0;B;45;48;5
3220;2019-02-01;746;M;3;0;C;69;81;5
3305;2019-02-01;45;M;2;0;A;33;36;5
3395;2019-02-01;798;M;5;2;B;38;42;6
3444;2019-02-01;709;F;3;0;B;63;78;7
3461;2019-02-01;796;M;2;3;B;76;89;6
3523;2019-02-01;878;F;4;3;C;15;15;5
3561;2019-02-01;888;F;4;2;B;33;37;6
3634;2019-02-01;246;M;2;2;B;49;53;5
3689;2019-02-01;433;M;3;3;B;50;54;6
3763;2019-02-01;433;M;3;3;B;60;67;6
3855;2019-02-01;545;M;2;2;B;28;32;4
3949;2019-02-01;943;F;1;0;C;7;7;5
3950;2019-02-01;429;M;4;0;C;23;23;5
3970;2019-02-01;56;F;2;3;B;31;36;5
4009;2019-02-01;922;M;1;0;B;23;23;7
4017;2019-02-01;305;F;4;0;B;68;83;6
4064;2019-02-01;453;F;1;0;B;28;31;6
4113;2019-02-01;236;M;2;2;C;10;11;3
4153;2019-02-01;193;F;4;0;B;49;51;7
4246;2019-02-01;927;M;1;1;C;17;17;4
4251;2019-02-01;594;F;3;1;C;41;44;4
4307;2019-02-01;333;F;2;0;C;35;38;5
4382;2019-02-01;199;M;3;3;B;2;2;1
4459;2019-02-01;973;F;4;0;B;50;56;6
4521;2019-02-01;686;F;3;2;A;24;24;4
4578;2019-02-01;523;M;3;0;B;42;48;6
4581;2019-02-01;406;M;2;4;C;48;57;6
4680;2019-02-01;225;M;4;0;C;59;67;5
4755;2019-09-01;82;F;1;1;C;44;54;7
4823;2019-09-01;362;F;3;0;B;41;44;6
4906;2019-09-01;394;M;1;0;B;20;22;6
5000;2019-09-01;243;F;1;4;C;26;27;5
5038;2019-09-01;652;F;4;0;B;60;73;5
5082;2019-09-01;160;F;3;4;B;77;88;6
5151;2019-09-01;79;F;2;0;C;57;68;5
5165;2019-09-01;151;F;1;0;B;68;80;5
5198;2019-09-01;933;M;2;2;B;3;3;2
5279;2019-09-01;6;F;2;0;B;6;6;3
5305;2019-09-01;322;M;2;0;B;69;79;7
5329;2019-09-01;663;F;4;0;B;15;15;4
5407;2019-09-01;459;F;3;2;B;53;56;6
5506;2019-09-01;761;F;1;4;B;37;41;4
5524;2019-09-01;384;F;3;2;C;63;70;5
5578;2019-09-01;707;M;4;0;B;26;28;6
5583;2019-09-01;954;F;4;2;B;9;9;3
5678;2019-09-01;227;F;3;0;C;71;85;5
5693;2019-09-01;458;F;3;4;C;30;33;4
5773;2019-09-01;804;F;4;3;B;52;59;4
5872;2019-09-01;462;F;4;0;A;32;33;5
5959;2019-09-01;283;M;4;1;B;53;64;5
5998;2019-09-01;25;M;4;1;C;42;45;6
6061;2019-09-01;842;M;5;2;B;28;33;5
6085;2019-09-01;348;F;3;0;A;13;13;3
6142;2019-09-01;757;F;4;3;C;52;61;6
6166;2019-09-01;44;F;4;0;C;1;1;1
6176;2019-09-01;332;F;3;4;C;63;72;6
6243;2019-09-01;38;M;3;0;B;65;79;5
6268;2019-09-01;257;M;1;4;C;8;8;4
6303;2019-09-01;886;F;5;1;B;51;62;6
6336;2019-09-01;4;M;4;0;B;50;56;5
6428;2019-09-01;865;F;1;0;B;36;37;6
6497;2019-09-01;982;M;4;3;B;20;21;5
6531;2019-09-01;516;M;1;0;C;59;69;6
6623;2019-09-01;443;F;4;0;C;33;35;4
6669;2019-09-01;996;F;1;4;B;52;60;5
6740;2019-09-01;847;M;4;2;A;46;51;5
6800;2019-09-01;408;F;4;0;B;4;5;3
6805;2019-09-01;369;F;3;4;C;66;77;7
6813;2019-09-01;502;M;4;0;C;56;64;7
6879;2019-09-01;163;F;3;0;A;60;70;6
6883;2019-09-01;171;F;3;1;B;65;74;6
6912;2019-09-01;597;M;3;0;C;72;82;6
6922;2019-09-01;289;F;3;4;C;17;18;5
6975;2019-09-01;521;F;1;0;A;67;76;6
7042;2019-09-01;770;M;2;3;B;37;40;5
7118;2019-09-01;42;M;2;2;B;20;22;4
7158;2019-09-01;517;F;3;1;B;48;54;5
7164;2019-09-01;628;M;3;0;B;20;21;4
7243;2019-09-01;59;M;2;0;A;40;47;7
7286;2019-09-01;418;M;2;2;A;59;65;5
7329;2019-09-01;113;F;3;0;B;57;73;4
7361;2019-09-01;756;F;1;4;B;55;65;7
7378;2019-09-01;933;M;2;2;B;27;29;4
7380;2019-09-01;506;F;4;3;B;18;18;4
7410;2019-09-01;991;F;2;2;C;31;38;6
7419;2019-09-01;773;M;4;0;B;63;80;7
7439;2019-09-01;525;M;1;4;B;66;81;6
7481;2019-09-01;52;F;1;0;A;68;88;6
7563;2019-09-01;174;M;4;3;C;66;81;6
7599;2019-09-01;498;M;3;2;B;37;38;6
7634;2019-09-01;921;M;2;3;B;68;84;6
7711;2019-09-01;916;F;3;4;C;13;16;4
7784;2019-09-01;96;F;1;1;C;45;51;6
7865;2019-09-01;957;M;2;3;B;41;44;6
7882;2019-09-01;110;M;3;0;C;68;85;6
7894;2019-09-01;740;F;1;4;C;11;11;4
7915;2019-09-01;780;M;3;2;B;68;87;5
7928;2019-09-01;350;F;5;1;B;68;78;6
8004;2019-09-01;768;F;4;0;B;10;11;5
8022;2019-09-01;892;F;4;2;B;77;89;6
8120;2019-09-01;75;M;1;0;B;27;31;5
8218;2019-09-01;880;M;3;2;B;15;15;4
8250;2019-09-01;583;F;2;0;B;44;49;5
8291;2019-09-01;580;M;3;0;B;7;7;2
8330;2019-09-01;539;M;2;0;C;47;53;6
8333;2019-09-01;560;M;2;0;B;18;18;5
8410;2019-09-01;645;F;4;0;B;70;86;7
8476;2019-09-01;978;F;3;0;C;34;36;7
8562;2019-09-01;831;F;4;2;B;76;87;7
8613;2019-09-01;830;F;5;1;B;61;70;6
8701;2019-09-01;651;F;2;0;B;35;40;6
8799;2019-09-01;583;F;2;0;B;22;22;5
8878;2019-01-13;814;M;4;0;B;57;68;5
8974;2019-01-13;815;F;2;4;B;15;15;4
9064;2019-01-13;301;F;3;0;C;71;85;5
9158;2019-01-13;122;M;3;3;B;11;11;4
9215;2019-01-13;750;M;2;2;C;48;58;5
9248;2019-01-13;802;M;1;1;B;15;15;5
9329;2019-01-13;351;F;2;2;B;13;13;4
9352;2019-01-13;304;F;2;3;B;54;64;6
9368;2019-01-13;847;M;4;2;A;68;83;6
9456;2019-01-13;143;F;1;4;B;67;82;6
9545;2019-01-13;433;M;3;3;B;27;28;7
9560;2019-01-13;935;F;2;0;B;10;10;4
9607;2019-01-13;512;M;4;0;B;36;39;4
9696;2019-01-13;552;M;4;0;B;37;40;5
9755;2019-01-13;759;F;3;0;B;25;26;5
9826;2019-01-13;487;F;3;0;C;1;1;1
9862;2019-01-13;691;M;4;0;B;20;21;5
9939;2019-01-13;828;F;2;4;B;11;11;3
10008;2019-01-13;425;F;3;0;B;52;63;6
10051;2019-01-13;659;F;2;2;B;20;24;6
10056;2019-01-13;17;M;4;0;B;62;75;6
10106;2019-01-13;464;M;2;2;B;2;2;2
